"FITC-A","Texas Red-A"
85.28,212.38
14109.7,49920.8
153.34,338.66
122.18,108.24
212365,189473
2831.46,36931.2
938.08,20561.5
2273.86,5563.7
520.7,23926
11735.8,6430.44
32416.2,34449.8
106.6,210.74
288.64,521.52
4348.46,10221.3
149.24,177.12
7266.02,38380.9
724.88,452.64
8770.72,6597.72
113.98,241.08
550.22,771.62
3043.84,3345.6
145.96,370.64
68.88,212.38
60.68,199.26
285.36,487.9
130.38,487.9
569.08,19297.9
7049.54,7657.16
169.74,530.54
11245.5,4319.76
29475.7,45473.9
42654.8,60985.9
108.24,252.56
13721.1,21185.5
154.16,1502.24
139382,143742
14686.2,36505.6
152707,141387
1093.88,5976.98
77.9,250.1
21967,47507.5
145.14,199.26
35850.4,33733.2
7368.52,4463.26
156.62,357.52
86859.3,97359.4
75.44,200.08
882.32,1213.6
2316.5,5876.94
54.94,174.66
25865.3,55295.9
220.58,525.62
332.92,285.36
546.94,8725.62
102.5,922.5
74.62,195.16
737.18,15347.9
3123.38,27069
3981.1,3641.62
64.78,1091.42
232.06,712.58
1833.52,3565.36
32759,59726.3
85794.1,89829.4
3613.74,3110.26
660.92,1879.44
101.68,154.98
37.72,189.42
48.38,321.44
8735.46,3166.84
79.54,181.22
92.66,252.56
107.42,250.92
40544.1,36043.1
50.02,112.34
6197.56,12084.3
120.54,516.6
95.12,337.84
540.38,1756.44
314.88,475.6
412.46,460.02
91.02,196.8
142.68,198.44
50027.4,44422.7
262143,262143
74.62,1113.56
110.7,340.3
1406.3,2990.54
60.68,186.96
98.4,265.68
1727.74,19428.3
113681,118151
4801.92,1917.16
10062.2,8676.42
7759.66,5013.48
364.9,503.48
1722.82,37599.5
14153.2,30133.4
95449.6,80127.1
67.24,189.42
100864,110648
68.06,124.64
2150.86,24700.9
13.94,166.46
68.06,341.94
72.16,211.56
329.64,680.6
68.88,183.68
110506,113600
154.16,1813.84
262143,262143
43.46,146.78
161612,150303
145807,144894
219.76,747.84
79.54,217.3
17.22,199.26
875.76,19838.3
6487.02,27448.7
59977.3,36941
63.14,183.68
228.78,357.52
1450.58,71546.6
77.9,177.12
969.24,24714.8
40.18,203.36
113.16,211.56
83.64,137.76
153.34,346.86
88.56,180.4
1981.94,2886.4
195737,169379
145.96,294.38
92.66,215.66
57784.6,62355.3
83773.7,101115
76528.1,93234.8
556.78,395.24
10093.4,68243.7
6218.88,15763.7
69.7,157.44
15148.7,34232.5
28539.3,25497.1
36.9,153.34
1230.82,4104.1
34048,53712.5
104.14,256.66
139.4,1386.62
180.4,529.72
3637.52,30586.8
72.98,182.86
45271.4,48506.3
309.14,3331.66
366.54,432.14
46356.2,66471.7
41754.4,55476.3
291.1,12436.1
54.94,156.62
256.66,9066.74
6108.18,24493.4
90.2,123.82
1890.92,1963.08
78.72,156.62
193.52,388.68
323.08,2584.64
139.4,316.52
101658,109286
70.52,131.2
262143,262143
65882.9,47312.4
127.1,317.34
1302.16,30827.1
10974.9,10122.9
116565,122046
369,4586.26
70.52,165.64
1054.52,15937.5
1288.22,1452.22
111.52,318.16
109.06,300.94
19.68,103.32
492.82,10692.8
251.74,488.72
101.68,303.4
85.28,585.48
182.04,905.28
59.86,109.88
63.14,175.48
104.14,294.38
1082.4,27534.8
132800,91576.8
91.02,150.88
18814.9,8574.74
129.56,2136.1
1477.64,44667.9
95.94,236.16
106.6,478.88
2677.3,4191.84
127.1,1183.26
3311.16,13920.3
297.66,453.46
4746.16,28964
44.28,222.22
87.74,177.12
77271.1,73635.2
211614,217886
528.08,9475.92
278.8,243.54
77.08,173.02
8369.74,7289.8
94.3,178.76
109.06,194.34
201160,217897
106.6,199.26
1080.76,2709.28
14383.6,32879.5
860.18,17206.9
60.68,202.54
17520.9,23352.8
48.38,132.02
256.66,309.96
55.76,211.56
993.02,3175.04
733.9,325.54
19513.5,48592.4
13178.2,27257.6
50.02,250.92
3694.92,10484.5
245783,259711
97.58,10373.8
74.62,269.78
236.16,2680.58
303.4,6320.56
86.92,260.76
262143,262143
86.1,250.92
80401,78880.7
1211.96,26990.3
121.36,228.78
90671.5,69632.8
35492.1,28582.7
20042.4,17220
3566.18,7799.02
51293.5,38462.9
229839,161843
1061.9,8635.42
1134.88,501.02
67.24,152.52
66.42,1389.08
15185.6,27374.1
102.5,232.88
123,213.2
122.18,164.82
482.16,10370.5
11494.8,8416.48
1408.76,7768.68
1543.24,4887.2
592.04,2505.1
115.62,276.34
6941.3,17503.7
1227.54,1658.04
1237.38,10805.1
341.94,2027.86
113.98,241.08
2545.28,7389.02
157.44,290.28
113.98,1053.7
195944,230623
17756.3,43203.3
63.96,137.76
134.48,359.98
238.62,404.26
110.7,162.36
262143,262143
1621.96,12392.7
184090,168267
61.5,150.88
1046.32,9881.82
134.48,250.1
15064.2,10416.5
77.9,178.76
5680.96,5449.72
100.86,144.32
88852.7,57206.5
95028.2,92332
176.3,646.98
9814.58,10312.3
25.42,146.78
99.22,223.04
19265.9,75607.3
63.14,173.84
72.16,215.66
3572.74,5888.42
119.72,329.64
824.1,19464.3
497.74,3387.42
246562,262143
64.78,124.64
72.16,123
124.64,318.98
1135.7,30498.3
1191.46,2925.76
113.98,250.1
296.84,651.9
110.7,178.76
59204.8,48333.3
1372.68,943
82517.4,109469
45.1,215.66
95.12,291.1
24842.7,14746.1
10465.7,24655.8
488.72,632.22
2732.24,3767.9
18.86,232.88
77.08,146.78
156176,153260
9342.26,18377
85958.1,105344
832.3,4353.38
69110.4,73861.5
38.54,183.68
93.48,258.3
857.72,24225.3
28.7,165.64
92.66,248.46
821.64,5359.52
124.64,391.96
139948,148527
136.12,249.28
422.3,661.74
142247,138830
17077.3,22826.3
549.4,17132.3
865.1,5388.22
138163,140952
43075.4,50501.3
17988.3,49926.5
528.08,7682.58
33231.3,50668.6
108.24,2326.34
139316,142933
157.44,339.48
115.62,564.98
163141,173687
475.6,1066
56.58,3522.72
123,5767.88
24782.9,13915.4
91.02,260.76
208.28,486.26
1154.56,16800.2
191176,196028
191334,178595
63.96,177.12
124423,132941
373.1,7704.72
1336.6,5392.32
86.1,1507.16
17367.6,19695.6
375.56,5126.64
691.26,457.56
1156.2,3817.1
227.14,1647.38
1725.28,7074.96
136.12,268.96
1928.64,37682.3
169.74,286.18
582.2,11321.7
181.22,296.02
157.44,273.88
1700.68,31925.1
152.52,442.8
113.98,3353.8
20502.5,50217.6
145.96,300.94
696.18,1020.9
44990.1,50955.6
1498.96,2241.88
1931.92,7133.18
162.36,225.5
2515.76,5853.16
35661.8,75084.1
5064.32,19037.1
7898.24,34342.4
143.5,292.74
28236.7,77710.6
2927.4,9634.18
77.9,204.18
5485.8,9402.94
81589.2,164857
73.8,267.32
123,1266.9
692.08,10151.6
198011,236198
232719,262143
218637,204496
1842.54,8913.4
58.22,1679.36
24779.6,44448.1
105.78,221.4
128345,136390
3084.84,42722.8
115.62,258.3
1778.58,7124.16
312.42,4030.3
61.5,186.96
3004.48,13531.6
109166,100603
84.46,279.62
1465.34,4197.58
2391.12,19491.4
202.54,668.3
2769.96,2144.3
4103.28,35611
59.86,152.52
207614,201513
150.06,8487
151455,153308
11647.3,23871.8
93997.4,83645.7
