Comp-FITC-A,Comp-Texas Red-A,
958,700,1.368571429
244,234,1.042735043
904,751,1.203728362
254,250,1.016
243,237,1.025316456
701,403,1.739454094
246,241,1.020746888
281,308,0.912337662
268,256,1.046875
1018,640,1.590625
298,255,1.168627451
260,247,1.052631579
291,245,1.187755102
242,237,1.021097046
370,557,0.66427289
708,705,1.004255319
391,602,0.649501661
288,271,1.062730627
876,737,1.188602442
313,492,0.636178862
245,241,1.01659751
721,490,1.471428571
366,294,1.244897959
527,404,1.304455446
1001,764,1.310209424
237,236,1.004237288
596,633,0.941548183
818,577,1.417677643
296,405,0.730864198
862,710,1.214084507
319,605,0.527272727
247,238,1.037815126
287,253,1.134387352
248,244,1.016393443
303,376,0.805851064
635,717,0.885634589
272,260,1.046153846
306,360,0.85
303,270,1.122222222
260,254,1.023622047
482,683,0.705710102
702,600,1.17
1023,853,1.1992966
814,715,1.138461538
259,245,1.057142857
630,709,0.888575458
262,246,1.06504065
485,389,1.246786632
330,377,0.875331565
443,591,0.749576988
336,555,0.605405405
835,694,1.203170029
266,251,1.059760956
245,296,0.827702703
319,566,0.56360424
356,278,1.28057554
255,337,0.756676558
518,597,0.867671692
276,401,0.688279302
598,576,1.038194444
262,267,0.981273408
488,704,0.693181818
311,252,1.234126984
734,749,0.979973298
938,780,1.202564103
285,266,1.071428571
259,244,1.06147541
378,359,1.052924791
294,262,1.122137405
276,256,1.078125
259,375,0.690666667
258,415,0.621686747
293,631,0.464342314
278,251,1.107569721
245,242,1.012396694
288,260,1.107692308
924,811,1.139334155
1002,773,1.296248383
446,365,1.221917808
537,529,1.015122873
288,258,1.11627907
337,567,0.594356261
286,269,1.063197026
279,546,0.510989011
248,247,1.004048583
300,275,1.090909091
416,376,1.106382979
296,272,1.088235294
414,410,1.009756098
250,243,1.028806584
253,246,1.028455285
999,838,1.192124105
250,240,1.041666667
256,252,1.015873016
269,255,1.054901961
249,249,1
718,466,1.540772532
1023,911,1.122941822
374,264,1.416666667
250,243,1.028806584
242,241,1.004149378
255,278,0.917266187
403,632,0.637658228
274,261,1.049808429
853,451,1.89135255
241,242,0.995867769
238,250,0.952
255,247,1.032388664
280,319,0.877742947
247,245,1.008163265
286,575,0.497391304
478,307,1.557003257
337,566,0.59540636
928,708,1.310734463
304,615,0.494308943
288,287,1.003484321
435,402,1.082089552
310,307,1.009771987
886,645,1.373643411
663,497,1.334004024
454,468,0.97008547
260,251,1.035856574
750,689,1.088534107
253,245,1.032653061
253,244,1.036885246
259,252,1.027777778
251,241,1.041493776
304,256,1.1875
1023,901,1.135405105
239,338,0.707100592
290,330,0.878787879
249,237,1.050632911
249,237,1.050632911
921,747,1.232931727
267,310,0.861290323
259,248,1.044354839
248,236,1.050847458
1023,937,1.091782284
243,238,1.021008403
289,285,1.014035088
267,250,1.068
349,304,1.148026316
274,258,1.062015504
1001,826,1.211864407
311,289,1.076124567
270,253,1.067193676
893,678,1.317109145
303,582,0.520618557
249,240,1.0375
273,337,0.810089021
267,254,1.051181102
265,246,1.077235772
365,555,0.657657658
243,236,1.029661017
1023,948,1.079113924
283,256,1.10546875
276,296,0.932432432
260,260,1
473,510,0.92745098
843,756,1.115079365
627,666,0.941441441
302,573,0.527050611
812,641,1.266770671
511,364,1.403846154
275,252,1.091269841
245,237,1.033755274
383,639,0.599374022
247,259,0.953667954
791,504,1.569444444
264,248,1.064516129
303,269,1.126394052
247,236,1.046610169
262,241,1.087136929
283,254,1.114173228
288,264,1.090909091
304,537,0.566108007
277,249,1.112449799
288,421,0.684085511
997,851,1.171562867
268,248,1.080645161
247,240,1.029166667
267,252,1.05952381
274,258,1.062015504
273,273,1
359,582,0.616838488
308,265,1.162264151
252,244,1.032786885
294,385,0.763636364
259,246,1.052845528
267,248,1.076612903
257,246,1.044715447
961,748,1.284759358
