"GFP-A","mCherry-A"
777.062,35937.6
1568.31,17121.8
1698.92,57593.4
663.501,3411.61
761.216,35422.5
1245.08,5046.68
919.27,19683.6
3458.25,36920
1708.24,29454.9
647.194,9542.32
1908.89,26906.6
2564.07,9304.19
759.194,6121.37
726.221,6358.78
13200.8,40765.4
1627.39,12516.6
663.654,13856.6
3734.89,3474.43
1020.08,4580.74
1434.21,17106
1456.28,38526.1
2964.2,53923
747.699,644.378
1105.1,37709.5
2069.86,11542
3147.67,16099.3
1876.81,6415.62
1077.12,22606.4
2611.74,7685.94
892.595,22773
1899.01,70514.5
2594.53,4020.63
707.968,4849.95
11561.9,15230.3
5630.95,13312.8
1749.66,18963
11152.1,41417.8
644.659,6320.69
1600.79,9843.99
652.134,62395.9
2447.82,17584.8
3683.2,74806.9
692.966,11249.2
3675.16,5238.86
1346.25,6701.21
1322.06,68961.7
3375.13,7951.92
1016.88,11712.6
5683.12,15969.2
1640.81,31571.7
1715.87,30113.5
3276.06,12678.5
2214.04,15525.2
4784.79,31089.9
721.69,56224.5
1223.53,6048.79
6004.25,33178.1
906.291,40436.9
2307.58,44138
1240.04,18767.8
815.411,18662
924.851,37413.9
