"GFP-A","mCherry-A"
3118.46,3360.13
1004.36,1538.05
1202.23,1306.11
11737.9,12429.8
10036.6,10305.1
2086.76,2311.83
827.699,2628.89
2206.85,6507.44
1237.15,1593.91
7265.79,8619.34
1126.04,2068.63
1157.43,1316.4
2792.83,1901.54
3649.66,4470.58
2319.36,2403.58
900.659,1058.66
660.352,680.166
663.219,1584.82
747.11,1446.12
664.013,674.458
1578.55,1643.96
626.202,730.086
9373.49,9462.63
10399,13147.9
3311.87,9694.08
928.819,1973.12
5191.83,14097.9
3296.41,3855.21
1039.9,1247.87
809.446,2081.23
885.146,2267.93
774.093,888.73
3841.72,3702.91
1971.12,4820.15
641.178,1480.88
852.762,1077.99
13421.5,17949.8
1369.37,1773.11
2524.75,3183.46
3847.42,4850.53
667.392,1512.76
2282.04,5493.79
12458.3,15821.4
3095.99,3595.75
3962.39,9765.76
6523.24,11678.3
1755.42,3499.72
1482.01,1692.72
1867.67,2172.93
4168.83,10949.7
2852.61,2889.37
648.499,1448.45
5350.5,5259.14
2234.91,2252.93
695.475,906.163
5643.29,7526.12
814.08,1155.25
23837.3,26292
1820.72,3532.42
1599.9,3089.84
1480.73,4548.33
1060.56,3111.88
2347.42,2735.85
1141.22,1221.27
5533.23,10389.2
8200.04,19050.3
24364.8,25519.8
3967.08,10127.3
2428.6,2255.69
2995.76,6741.5
1179.44,1401.5
2278.99,2690.76
2746.16,3240.7
1972.28,5928.22
1414.43,1377.13
4780.01,9601.15
4961.87,11197.1
791.731,987.622
3965.13,4812.85
15545.4,17124.2
15188.5,23831.7
978.765,3505.1
5712.46,6422.4
1646.49,1659.49
784.128,893.235
2248.52,4976.84
1726.03,2086.53
2149.81,4520.27
1388.9,1573.32
1903.46,1925.25
1680.84,1941.02
723.021,992.973
892.365,2478.72
1378.82,1828.12
2376.93,2636.03
1312.49,1483.96
889.242,2258.71
7345.61,11838.7
805.709,989.696
628.147,564.966
999.091,1764.33
2039.37,2533.84
825.498,1658.88
2712.17,7344.41
7961.75,9970.61
1921.92,4104.35
4046.36,5179.08
1540.94,4818.05
8710.99,8538.96
11233.1,17038.4
1761.36,2159.85
8342.37,9034.47
2517.09,2770.48
3692.98,8864.61
662.656,636.621
2114.53,1785.75
10691.5,12727.2
7340.6,7839.9
954.522,1122.43
701.952,818.944
11663.8,12867
823.194,964.275
638.08,1766.48
1958.48,2740.3
678.195,1536.41
1677.29,3239.94
6609.25,5253.12
970.266,1119.59
7256.45,17626.6
930.099,1616.38
1971.23,2051.81
1119.59,1374.87
26493.1,31578
10605.6,11828.2
4506.27,4667.19
4992.56,5779.07
1290.62,2167.91
2262.89,3340.49
2982.55,2818.25
867.84,2519.5
1482.75,1724.42
809.523,586.086
648.064,754.918
1128.45,1391.03
2812.52,3348.79
1879.86,2065.46
2472.4,2848.59
1807.82,2165.89
