"Comp-FL03-A :: FITC-A","Comp-FL15-A :: mCherry-A"
19812.5,47942.2
10990.2,56617.7
37736.6,143322
14236.2,31017.1
82756.1,103236
21704.1,64434.5
85482,112908
20213.7,139259
15748.4,112047
39568.1,73641.2
45764.1,75567.4
44606.6,119305
139623,198349
38316.1,35259.1
58041.9,97979.3
87792.1,61752.6
32678.6,39120.1
33364.5,27489.1
34370.5,52187.7
71823.4,41306.4
22067.8,75359.6
58473.1,63659.8
160107,190125
113314,172111
146351,138177
24012.9,73785.9
84650.6,59374.9
33147.4,114041
45008.8,92492.9
60365,29629.5
127442,150213
16530,39019.9
164811,145929
30202.3,18708
29950.6,36101.4
89707.5,137014
43577.4,93181.9
129436,129302
45088.3,50892.2
55239.5,76914.7
22079.8,121626
109550,83798.2
170872,169315
57615.9,48348
122486,136626
33288.8,73983.2
23971.2,150644
85636,45746.4
18369.4,47251.7
151929,141794
59287.8,72686.4
180280,153476
29990.9,37305.1
56238.6,67123.4
64299.5,31015.6
33080.5,34127.4
16109.2,111458
30672.7,103915
16282.6,31022.3
103781,91409.8
13277,19323.1
15992.5,40915.6
27330.3,88805.8
20293.8,100915
164190,165309
164241,177198
122150,172726
11811.5,59783.8
91147.3,105036
12752,58426.7
29718.3,52834.2
82275,114028
21589.4,65217.7
20475,30792.4
43840.8,38762.6
120569,144474
59488.3,184047
42206.9,32999.8
73459.4,126544
14777.9,85471.4
40595.5,44636.4
69624.1,157321
45325.7,62145.7
23950.8,21888.1
15890.1,64758.4
44662.4,155754
31411.6,66292.6
17045.5,54748.1
54328.5,114938
109304,139731
172635,164228
116216,155904
60494.2,54043.5
55849.7,100895
103310,132729
29367.1,50138.3
11332,53445.2
36544.3,46754.6
14254.9,70876.9
62004.4,68668.3
34924.2,67962.6
102757,96337.4
63184.6,59345.4
32133.8,34557.7
79100.1,102588
30190,118284
36375.4,147683
45604.8,22741.7
45738.8,99641.6
42843.7,20445.5
29654.8,104998
25551.5,70371.7
19204.1,136126
13955.7,18860.6
13898.1,34735.1
23781.9,83780.1
185826,160741
17932.1,89308.8
59836.8,94906.8
36161.1,28925.2
56325.9,108427
53212.3,74439.3
49789.3,51427.8
143104,115698
12369.3,60638.9
57612.6,122521
76346.4,134530
175009,156624
25073.4,120600
85171.7,70405.5
177095,144192
95694.3,181343
30888,34147.5
58173,73120
21792.2,77408.1
46096.1,43907.1
26236.3,61068.4
47678.1,80458.8
19293,30496.2
153297,117771
14001,73295
13534.2,52577.8
12520.1,29067
12953.2,35383.7
36847,69759.8
16408.8,69080.8
17848.5,84029.8
12102.2,20910.1
29505.1,32222.2
81925.8,86869.6
73294.5,70403.5
26010.2,17550.7
54280.4,49108.3
27433.3,80647.4
11680.5,18978.9
75113.5,131489
37992.6,122348
17036.1,65686.1
82178.2,159553
28196.2,82489.5
130818,134433
34345.5,63840.9
14669.2,19754.8
22556.7,74922.8
30644.5,21184.2
73788.4,72564.5
79164.4,89681
29493.1,24150.3
16697.5,82463.5
39473.9,78905.2
89836.1,108982
94698.3,94909
44497.2,25953.7
18409.4,33914.7
33395.8,52305.9
72431.3,155080
23325.6,95268.7
16252.2,62936.8
165164,156566
25342.3,73981.8
15612.2,38566.1
61054.9,125744
28697.3,56091.1
95158.9,70681.2
87784.2,135741
43723.1,137972
